ts_event,price
2024-10-21 12:52:32.328940616+00:00,233.94
2024-10-21 12:52:40.109749794+00:00,233.71
2024-10-21 12:52:40.895621746+00:00,233.71
2024-10-21 12:52:52.427835018+00:00,233.86
2024-10-21 12:52:52.427874272+00:00,233.95
2024-10-21 12:52:52.428191381+00:00,233.94
2024-10-21 12:52:52.428267507+00:00,233.93
2024-10-21 12:52:54.135441488+00:00,233.86
2024-10-21 12:52:54.135441488+00:00,233.86
2024-10-21 12:52:54.135462788+00:00,233.82
2024-10-21 12:52:54.135464840+00:00,233.83
2024-10-21 12:52:54.135475842+00:00,233.82
2024-10-21 12:52:54.135490428+00:00,233.81
2024-10-21 12:52:54.135504193+00:00,233.94
2024-10-21 12:52:54.156001750+00:00,233.94
2024-10-21 12:52:54.235547055+00:00,233.83
2024-10-21 12:52:54.235576841+00:00,233.81
2024-10-21 12:52:57.365726586+00:00,233.9
2024-10-21 12:52:57.365726586+00:00,233.9
2024-10-21 12:52:57.365728013+00:00,233.87
2024-10-21 12:52:57.365747718+00:00,233.82
2024-10-21 12:52:57.365754933+00:00,233.85
2024-10-21 12:52:57.365762251+00:00,233.85
2024-10-21 12:52:57.365775239+00:00,233.82
2024-10-21 12:52:57.365803525+00:00,233.82
2024-10-21 12:52:57.366029914+00:00,233.85
2024-10-21 12:52:57.366051623+00:00,233.94
2024-10-21 12:52:57.366331535+00:00,233.85
2024-10-21 12:52:57.369838111+00:00,233.87
2024-10-21 12:52:57.369858806+00:00,233.85
2024-10-21 12:52:57.436165494+00:00,234.0
2024-10-21 12:52:57.442081954+00:00,234.0
2024-10-21 12:52:57.473399287+00:00,233.82
2024-10-21 12:52:57.623765735+00:00,233.85
2024-10-21 12:52:59.389259843+00:00,234.0
2024-10-21 12:52:59.389271786+00:00,233.99
2024-10-21 12:53:00.698553118+00:00,234.07
2024-10-21 12:53:02.267851771+00:00,233.98
2024-10-21 12:53:11.670955032+00:00,233.98
2024-10-21 12:53:11.670966379+00:00,234.0
2024-10-21 12:53:11.727234767+00:00,233.99
2024-10-21 12:53:26.529763238+00:00,233.94
2024-10-21 12:53:28.427368134+00:00,233.98
2024-10-21 12:53:35.578849770+00:00,233.98
2024-10-21 12:53:35.578862371+00:00,234.0
2024-10-21 12:53:35.589718097+00:00,234.0
2024-10-21 12:53:35.644427153+00:00,234.0
2024-10-21 12:53:35.644439352+00:00,233.99
2024-10-21 12:53:38.058449683+00:00,233.71
2024-10-21 12:53:38.058462269+00:00,233.72
2024-10-21 12:53:42.548560344+00:00,233.72
2024-10-21 12:53:43.243634699+00:00,233.9
2024-10-21 12:53:58.645821004+00:00,233.72
2024-10-21 12:53:58.645833598+00:00,233.71
2024-10-21 12:53:58.694382577+00:00,233.71
2024-10-21 12:54:00.371901518+00:00,233.71
2024-10-21 12:54:00.439608110+00:00,234.07
2024-10-21 12:54:01.412078010+00:00,233.71
2024-10-21 12:54:01.412090878+00:00,233.7
2024-10-21 12:54:01.412103389+00:00,233.99
2024-10-21 12:54:01.467751209+00:00,233.99
2024-10-21 12:54:01.467763122+00:00,233.98
2024-10-21 12:54:01.474174096+00:00,233.7
2024-10-21 12:54:01.525937445+00:00,233.7
2024-10-21 12:54:01.525951049+00:00,233.71
2024-10-21 12:54:05.277851281+00:00,233.8
2024-10-21 12:54:15.649008030+00:00,233.93
2024-10-21 12:54:15.653103106+00:00,233.93
2024-10-21 12:54:23.663963755+00:00,233.9
2024-10-21 12:54:23.663963755+00:00,233.9
2024-10-21 12:54:23.663985900+00:00,233.82
2024-10-21 12:54:23.663993545+00:00,233.85
2024-10-21 12:54:23.664013091+00:00,233.85
2024-10-21 12:54:23.664029700+00:00,233.82
2024-10-21 12:54:23.664035920+00:00,233.98
2024-10-21 12:54:23.664298891+00:00,233.86
2024-10-21 12:54:23.664623467+00:00,233.86
2024-10-21 12:54:23.664895724+00:00,233.86
2024-10-21 12:54:23.668403631+00:00,233.86
2024-10-21 12:54:23.668424256+00:00,233.85
2024-10-21 12:54:23.764410397+00:00,233.82
2024-10-21 12:54:23.774388827+00:00,233.99
2024-10-21 12:54:23.920194306+00:00,233.85
2024-10-21 12:54:28.518577763+00:00,233.99
2024-10-21 12:54:28.575646585+00:00,233.99
2024-10-21 12:54:28.575658039+00:00,233.98
2024-10-21 12:54:33.076706602+00:00,233.89
2024-10-21 12:54:33.076763116+00:00,233.93
2024-10-21 12:54:41.332659042+00:00,233.93
2024-10-21 12:54:41.336753223+00:00,233.93
2024-10-21 12:54:41.347283222+00:00,233.9
2024-10-21 12:54:41.764117824+00:00,233.98
2024-10-21 12:54:41.769791072+00:00,233.9
2024-10-21 12:54:41.819429794+00:00,233.78
