,ts_event,price
221,2024-10-21 12:12:50+00:00,233.76
222,2024-10-21 12:12:55+00:00,233.77
223,2024-10-21 12:13:00+00:00,
224,2024-10-21 12:13:05+00:00,
225,2024-10-21 12:13:10+00:00,234.06
226,2024-10-21 12:13:15+00:00,
227,2024-10-21 12:13:20+00:00,234.07
228,2024-10-21 12:13:25+00:00,234.13
229,2024-10-21 12:13:30+00:00,234.06
230,2024-10-21 12:13:35+00:00,233.77
231,2024-10-21 12:13:40+00:00,234.13
232,2024-10-21 12:13:45+00:00,234.16
233,2024-10-21 12:13:50+00:00,234.15
234,2024-10-21 12:13:55+00:00,234.14
235,2024-10-21 12:14:00+00:00,233.76
236,2024-10-21 12:14:05+00:00,233.73
237,2024-10-21 12:14:10+00:00,233.8
238,2024-10-21 12:14:15+00:00,233.75
239,2024-10-21 12:14:20+00:00,234.18
240,2024-10-21 12:14:25+00:00,233.79
241,2024-10-21 12:14:30+00:00,
242,2024-10-21 12:14:35+00:00,233.78
243,2024-10-21 12:14:40+00:00,234.16
244,2024-10-21 12:14:45+00:00,234.16
245,2024-10-21 12:14:50+00:00,234.15
246,2024-10-21 12:14:55+00:00,233.86
247,2024-10-21 12:15:00+00:00,
248,2024-10-21 12:15:05+00:00,234.16
249,2024-10-21 12:15:10+00:00,234.16
250,2024-10-21 12:15:15+00:00,234.22
251,2024-10-21 12:15:20+00:00,234.1
252,2024-10-21 12:15:25+00:00,233.76
253,2024-10-21 12:15:30+00:00,
254,2024-10-21 12:15:35+00:00,234.1
255,2024-10-21 12:15:40+00:00,234.21
256,2024-10-21 12:15:45+00:00,234.19
257,2024-10-21 12:15:50+00:00,234.12
258,2024-10-21 12:15:55+00:00,233.77
259,2024-10-21 12:16:00+00:00,233.77
260,2024-10-21 12:16:05+00:00,233.75
261,2024-10-21 12:16:10+00:00,234.09
262,2024-10-21 12:16:15+00:00,
263,2024-10-21 12:16:20+00:00,234.08
264,2024-10-21 12:16:25+00:00,
265,2024-10-21 12:16:30+00:00,234.15
266,2024-10-21 12:16:35+00:00,233.68
267,2024-10-21 12:16:40+00:00,234.11
268,2024-10-21 12:16:45+00:00,234.09
269,2024-10-21 12:16:50+00:00,234.16
270,2024-10-21 12:16:55+00:00,
271,2024-10-21 12:17:00+00:00,234.15
272,2024-10-21 12:17:05+00:00,233.77
273,2024-10-21 12:17:10+00:00,233.74
274,2024-10-21 12:17:15+00:00,233.9
275,2024-10-21 12:17:20+00:00,234.04
276,2024-10-21 12:17:25+00:00,234.03
277,2024-10-21 12:17:30+00:00,234.03
278,2024-10-21 12:17:35+00:00,234.1
279,2024-10-21 12:17:40+00:00,
280,2024-10-21 12:17:45+00:00,233.93
281,2024-10-21 12:17:50+00:00,
282,2024-10-21 12:17:55+00:00,234.03
283,2024-10-21 12:18:00+00:00,234.04
284,2024-10-21 12:18:05+00:00,234.07
285,2024-10-21 12:18:10+00:00,234.04
286,2024-10-21 12:18:15+00:00,
287,2024-10-21 12:18:20+00:00,233.99
288,2024-10-21 12:18:25+00:00,
289,2024-10-21 12:18:30+00:00,233.97
290,2024-10-21 12:18:35+00:00,233.62
291,2024-10-21 12:18:40+00:00,233.62
292,2024-10-21 12:18:45+00:00,234.05
293,2024-10-21 12:18:50+00:00,233.62
294,2024-10-21 12:18:55+00:00,
295,2024-10-21 12:19:00+00:00,233.65
296,2024-10-21 12:19:05+00:00,233.96
297,2024-10-21 12:19:10+00:00,233.68
298,2024-10-21 12:19:15+00:00,
299,2024-10-21 12:19:20+00:00,234.41
300,2024-10-21 12:19:25+00:00,
301,2024-10-21 12:19:30+00:00,233.69
302,2024-10-21 12:19:35+00:00,233.73
303,2024-10-21 12:19:40+00:00,233.68
304,2024-10-21 12:19:45+00:00,233.72
305,2024-10-21 12:19:50+00:00,
306,2024-10-21 12:19:55+00:00,233.73
307,2024-10-21 12:20:00+00:00,234.09
308,2024-10-21 12:20:05+00:00,
309,2024-10-21 12:20:10+00:00,
310,2024-10-21 12:20:15+00:00,233.73
311,2024-10-21 12:20:20+00:00,
312,2024-10-21 12:20:25+00:00,233.8
313,2024-10-21 12:20:30+00:00,233.97
314,2024-10-21 12:20:35+00:00,
315,2024-10-21 12:20:40+00:00,
316,2024-10-21 12:20:45+00:00,
317,2024-10-21 12:20:50+00:00,233.99
318,2024-10-21 12:20:55+00:00,234.05
319,2024-10-21 12:21:00+00:00,234.03
320,2024-10-21 12:21:05+00:00,234.06
321,2024-10-21 12:21:10+00:00,233.86
322,2024-10-21 12:21:15+00:00,234.05
323,2024-10-21 12:21:20+00:00,234.05
324,2024-10-21 12:21:25+00:00,233.69
325,2024-10-21 12:21:30+00:00,
326,2024-10-21 12:21:35+00:00,
327,2024-10-21 12:21:40+00:00,234.05
328,2024-10-21 12:21:45+00:00,234.03
329,2024-10-21 12:21:50+00:00,233.79
330,2024-10-21 12:21:55+00:00,233.92
331,2024-10-21 12:22:00+00:00,234.02
332,2024-10-21 12:22:05+00:00,234.08
333,2024-10-21 12:22:10+00:00,
334,2024-10-21 12:22:15+00:00,233.72
335,2024-10-21 12:22:20+00:00,234.07
336,2024-10-21 12:22:25+00:00,233.79
337,2024-10-21 12:22:30+00:00,
338,2024-10-21 12:22:35+00:00,234.08
339,2024-10-21 12:22:40+00:00,233.92
340,2024-10-21 12:22:45+00:00,
341,2024-10-21 12:22:50+00:00,
342,2024-10-21 12:22:55+00:00,
343,2024-10-21 12:23:00+00:00,
344,2024-10-21 12:23:05+00:00,233.82
345,2024-10-21 12:23:10+00:00,233.8
346,2024-10-21 12:23:15+00:00,
347,2024-10-21 12:23:20+00:00,234.09
348,2024-10-21 12:23:25+00:00,234.15
349,2024-10-21 12:23:30+00:00,234.14
350,2024-10-21 12:23:35+00:00,234.08
351,2024-10-21 12:23:40+00:00,233.82
352,2024-10-21 12:23:45+00:00,
353,2024-10-21 12:23:50+00:00,233.82
354,2024-10-21 12:23:55+00:00,234.02
355,2024-10-21 12:24:00+00:00,233.73
356,2024-10-21 12:24:05+00:00,
357,2024-10-21 12:24:10+00:00,233.66
358,2024-10-21 12:24:15+00:00,233.8
359,2024-10-21 12:24:20+00:00,
360,2024-10-21 12:24:25+00:00,234.03
361,2024-10-21 12:24:30+00:00,234.03
362,2024-10-21 12:24:35+00:00,233.98
363,2024-10-21 12:24:40+00:00,234.09
364,2024-10-21 12:24:45+00:00,
365,2024-10-21 12:24:50+00:00,
366,2024-10-21 12:24:55+00:00,233.95
367,2024-10-21 12:25:00+00:00,233.97
368,2024-10-21 12:25:05+00:00,233.72
369,2024-10-21 12:25:10+00:00,233.98
370,2024-10-21 12:25:15+00:00,233.77
371,2024-10-21 12:25:20+00:00,
372,2024-10-21 12:25:25+00:00,233.99
373,2024-10-21 12:25:30+00:00,233.93
374,2024-10-21 12:25:35+00:00,234.44
375,2024-10-21 12:25:40+00:00,233.76
376,2024-10-21 12:25:45+00:00,233.77
377,2024-10-21 12:25:50+00:00,233.81
378,2024-10-21 12:25:55+00:00,
379,2024-10-21 12:26:00+00:00,234.07
380,2024-10-21 12:26:05+00:00,233.85
381,2024-10-21 12:26:10+00:00,233.79
382,2024-10-21 12:26:15+00:00,
383,2024-10-21 12:26:20+00:00,234.41
