ts_event,ofi_AAPL_target,ofi_MSFT
2024-10-21 12:39:30,126.80591227366563,126.80591227366563
2024-10-21 12:40:00,-33932.406099422245,-33932.406099422245
2024-10-21 12:40:30,284.5046020159473,284.5046020159473
2024-10-21 12:41:00,190.97873149471087,190.97873149471087
2024-10-21 12:41:30,1418.032897758581,1418.032897758581
2024-10-21 12:42:00,-2806.1061824681597,-2806.1061824681597
2024-10-21 12:42:30,2754.0950161393785,2754.0950161393785
2024-10-21 12:43:00,-1626.6264088831626,-1626.6264088831626
2024-10-21 12:43:30,596.6577720181193,596.6577720181193
2024-10-21 12:44:00,-2540.4152252015356,-2540.4152252015356
2024-10-21 12:44:30,-645.7471048173414,-645.7471048173414
2024-10-21 12:45:00,1373.7127056530526,1373.7127056530526
2024-10-21 12:45:30,92.3464807242379,92.3464807242379
