ts_event,best_level_ofi
2024-10-21 12:09:37.644355301,0.0
2024-10-21 12:09:38.208139554,2.0
2024-10-21 12:09:42.372615871,304.0
2024-10-21 12:09:42.372627823,-304.0
2024-10-21 12:09:43.901315169,0.0
2024-10-21 12:09:45.628579880,0.0
2024-10-21 12:09:48.089350946,0.0
2024-10-21 12:09:48.587030358,304.0
2024-10-21 12:09:48.587043020,-304.0
2024-10-21 12:09:49.792724444,0.0
2024-10-21 12:09:53.122453611,318.0
2024-10-21 12:09:53.247009420,-288.0
2024-10-21 12:09:53.247043259,288.0
2024-10-21 12:09:53.299918437,-288.0
2024-10-21 12:09:54.363979828,288.0
2024-10-21 12:09:54.363990119,0.0
2024-10-21 12:09:54.402345010,-288.0
2024-10-21 12:09:57.392602293,0.0
2024-10-21 12:09:57.432954262,288.0
2024-10-21 12:09:57.433015324,-288.0
2024-10-21 12:10:01.648302231,288.0
2024-10-21 12:10:01.648314395,-288.0
2024-10-21 12:10:01.702573654,0.0
2024-10-21 12:10:01.719020950,288.0
2024-10-21 12:10:01.719033080,-288.0
2024-10-21 12:10:01.724626959,0.0
2024-10-21 12:10:01.726066241,0.0
2024-10-21 12:10:01.751841665,288.0
2024-10-21 12:10:01.781661443,0.0
2024-10-21 12:10:01.781673802,-288.0
2024-10-21 12:10:01.842775879,288.0
2024-10-21 12:10:02.294097461,-288.0
2024-10-21 12:10:03.188596704,288.0
2024-10-21 12:10:03.188608784,-288.0
2024-10-21 12:10:03.188621108,0.0
2024-10-21 12:10:03.197531287,0.0
2024-10-21 12:10:03.247731199,288.0
2024-10-21 12:10:03.247744906,-288.0
2024-10-21 12:10:03.255005064,288.0
2024-10-21 12:10:03.257914828,0.0
2024-10-21 12:10:03.459955473,0.0
2024-10-21 12:10:03.459967128,-288.0
2024-10-21 12:10:03.514882942,0.0
2024-10-21 12:10:12.927978411,288.0
2024-10-21 12:10:12.928036467,-288.0
2024-10-21 12:10:12.928066550,0.0
2024-10-21 12:10:13.161741583,288.0
2024-10-21 12:10:13.161754596,-288.0
2024-10-21 12:10:20.742267983,20.0
2024-10-21 12:10:23.455694731,0.0
2024-10-21 12:10:23.510549173,268.0
2024-10-21 12:10:23.510561501,-268.0
2024-10-21 12:10:24.014526498,0.0
2024-10-21 12:10:29.982925320,268.0
2024-10-21 12:10:32.696534026,0.0
2024-10-21 12:10:32.696591804,-268.0
2024-10-21 12:10:36.255768918,268.0
2024-10-21 12:10:36.667879809,0.0
2024-10-21 12:10:36.667890580,-268.0
2024-10-21 12:10:36.718839166,0.0
2024-10-21 12:10:36.743886554,268.0
2024-10-21 12:10:36.743997154,-268.0
2024-10-21 12:10:42.064737913,268.0
2024-10-21 12:10:42.064751203,-268.0
2024-10-21 12:10:43.289649676,0.0
2024-10-21 12:10:43.377793688,268.0
2024-10-21 12:10:43.377874040,-268.0
2024-10-21 12:10:45.117298924,0.0
2024-10-21 12:10:50.849951366,0.0
2024-10-21 12:10:52.970596564,268.0
2024-10-21 12:10:53.810283344,11.0
2024-10-21 12:10:53.881437911,0.0
2024-10-21 12:10:53.881449961,-286.0
2024-10-21 12:10:54.127647992,286.0
2024-10-21 12:10:54.127659727,-286.0
2024-10-21 12:10:54.146847471,286.0
2024-10-21 12:10:54.146889193,-286.0
2024-10-21 12:10:54.146930519,0.0
2024-10-21 12:10:54.147042446,286.0
2024-10-21 12:10:54.198356340,-286.0
2024-10-21 12:10:57.184732013,0.0
2024-10-21 12:10:57.589931819,0.0
2024-10-21 12:10:57.806606311,286.0
2024-10-21 12:10:57.806619389,-286.0
2024-10-21 12:10:59.771109174,286.0
